STN_ID,SITE_CODE,WLM_ID,MSMT_DATE,WLM_RPE,WLM_GSE,RDNG_WS,RDNG_RP,WSE,RPE_WSE,GSE_WSE,WLM_QA_DESC,WLM_DESC,WLM_ACC_DESC,WLM_ORG_ID,WLM_ORG_NAME,MSMT_CMT,COOP_AGENCY_ORG_ID,COOP_ORG_NAME
21008,355967N1191967W001,2241182,2017-03-15T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,Skip,1,Department of Water Resources
21008,355967N1191967W001,2188555,2016-03-09T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,2169910,2015-10-09T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,2135237,2015-03-05T12:10:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,2135477,2015-03-05T12:10:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,2108399,2014-09-30T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,1882496,2014-01-14T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,1812183,2013-10-30T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Measurement Discontinued,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,1723662,2013-02-26T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,1821209,2012-10-11T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,65947,2012-01-18T12:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719750,2011-10-18T00:00:00Z,433.69,432.69,0,354,79.69,354,353,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719749,2011-01-13T00:00:00Z,433.69,432.69,0,347,86.69,347,346,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719748,2010-10-29T00:00:00Z,433.69,432.69,0,356,77.69,356,355,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719747,2010-01-12T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719746,2009-11-05T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719744,2009-01-20T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719743,2008-10-10T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719742,2008-02-07T00:00:00Z,433.69,432.69,0,325,108.69,325,324,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719741,2007-10-18T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719745,2006-10-20T00:00:00Z,433.69,432.69,0,304,129.69,304,303,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719740,1999-10-07T00:00:00Z,433.69,432.69,0,324,109.69,324,323,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719739,1998-01-08T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719738,1997-10-09T00:00:00Z,433.69,432.69,0,346,87.69,346,345,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719737,1994-01-27T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719736,1993-10-07T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719735,1993-01-28T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719734,1992-10-08T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719733,1992-01-30T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719732,1991-10-03T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719731,1991-01-31T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719730,1990-10-03T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719729,1990-01-25T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719728,1989-10-02T00:00:00Z,433.69,432.69,0,351,82.69,351,350,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719727,1989-01-29T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Temporarily inaccessible,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719726,1988-10-07T00:00:00Z,433.69,432.69,0,332,101.69,332,331,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719725,1988-01-28T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719724,1987-10-09T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719723,1987-01-29T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719722,1986-10-02T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
21008,355967N1191967W001,719721,1986-01-30T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
21008,355967N1191967W001,719720,1985-10-01T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Special/Other,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
21008,355967N1191967W001,719719,1985-01-28T00:00:00Z,433.69,432.69,0,265,168.69,265,264,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719718,1984-10-04T00:00:00Z,433.69,432.69,0,303,130.69,303,302,NA,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,1,Department of Water Resources
21008,355967N1191967W001,719717,1984-01-31T00:00:00Z,433.69,432.69,0,285,148.69,285,284,Acoustical sounder,Unknown,Water level accuracy is unknown,1,Department of Water Resources,NA,624,Bureau of Reclamation
21008,355967N1191967W001,719716,1983-09-26T00:00:00Z,433.69,432.69,NA,NA,NA,NA,NA,Pumping,NA,NA,1,Department of Water Resources,NA,624,Bureau of Reclamation
